build_duration,error_count,failed_tests,cpu_usage,memory_usage,previous_status,deployment_frequency,status
46,11,2,58,81,1,6,1
8,13,6,34,79,0,7,1
58,1,2,23,37,1,5,0
33,18,7,44,30,0,9,1
22,17,9,32,37,0,3,1
30,2,3,52,58,1,1,1
48,16,14,35,34,1,4,1
38,7,14,61,76,1,9,1
14,9,12,85,63,0,4,1
40,1,0,74,94,0,2,0
18,18,3,61,84,0,5,1
35,8,13,53,72,1,3,1
52,6,6,49,59,0,9,1
19,3,10,32,46,0,4,1
12,17,3,32,55,1,6,1
18,12,12,37,37,0,2,1
27,10,5,51,76,0,6,1
44,3,8,58,75,1,3,1
25,3,0,65,97,0,9,0
20,9,12,48,62,1,2,1
49,4,4,81,30,1,9,1
22,8,10,81,48,1,5,1
51,2,6,76,60,1,8,1
57,16,0,35,43,1,2,1
28,2,13,75,82,0,6,1
30,15,3,29,77,0,3,1
29,3,5,49,98,1,5,1
49,17,1,44,91,1,8,1
45,16,9,24,95,0,1,1
33,6,4,84,93,1,5,1
19,4,10,68,99,1,3,1
49,11,9,22,92,1,4,1
5,16,0,64,62,0,2,1
29,12,5,33,70,0,9,1
11,2,5,49,77,1,3,1
13,8,12,87,42,1,2,1
28,16,14,37,60,0,9,1
5,16,14,81,97,0,7,1
48,19,3,56,33,1,6,1
12,15,12,44,48,1,1,1
28,12,7,67,99,0,5,1
15,18,3,84,42,0,3,1
55,16,7,72,52,0,1,1
21,3,14,98,30,1,4,1
12,11,12,92,83,0,2,1
39,8,7,34,44,1,2,1
39,18,4,68,94,0,3,1
37,11,12,87,44,0,8,1
9,8,14,31,50,0,8,1
46,6,3,78,48,0,7,1
43,13,11,56,89,1,6,1
45,19,12,80,62,1,9,1
32,18,1,62,78,0,4,1
11,14,10,89,64,1,1,1
13,15,14,58,73,0,8,1
12,4,2,75,40,0,7,1
16,2,2,82,95,0,7,1
38,11,3,65,75,0,3,1
37,19,3,30,38,1,4,1
52,3,9,81,32,0,9,1
59,15,10,96,55,0,6,1
27,6,10,44,77,1,5,1
28,12,4,90,95,0,3,1
41,9,3,71,99,0,9,1
39,6,10,23,57,0,5,1
48,13,13,78,55,1,5,1
44,4,9,91,54,0,4,1
26,2,7,39,41,1,4,1
31,10,5,82,34,0,1,1
39,10,5,73,77,0,7,1
5,17,7,93,66,1,9,1
39,14,6,76,73,0,3,1
41,11,14,60,44,0,2,1
51,8,9,22,72,1,3,1
18,9,13,25,77,1,1,1
7,11,10,24,99,1,6,1
5,16,11,24,75,1,7,1
9,5,9,73,72,1,2,1
30,6,12,66,50,0,8,1
59,13,7,68,52,1,6,1
18,12,13,28,76,0,4,1
43,7,1,39,44,0,5,1
31,9,8,80,54,0,8,1
13,8,0,54,65,1,3,1
19,17,14,69,80,1,3,1
19,1,7,81,44,0,4,1
30,4,11,36,97,1,1,1
46,4,10,22,50,1,9,1
17,5,11,51,42,1,8,1
55,18,11,32,48,1,8,1
36,7,3,92,63,0,6,1
43,15,3,87,97,0,7,1
53,12,4,33,81,1,6,1
56,0,7,30,56,0,9,1
36,19,4,75,58,1,3,1
8,16,7,86,57,1,3,1
34,6,14,48,64,0,3,1
41,12,9,28,37,0,3,1
27,3,0,86,45,0,9,0
43,3,11,44,65,1,4,1
49,5,14,95,59,0,7,1
19,18,9,61,47,1,9,1
47,11,8,28,31,0,7,1
33,6,5,98,78,0,9,1
40,9,2,59,33,1,3,1
17,18,12,44,36,1,4,1
36,6,13,24,68,1,8,1
11,2,7,30,42,1,6,1
55,12,8,78,60,1,5,1
26,12,5,98,92,1,4,1
32,17,10,57,85,1,8,1
6,19,6,91,71,1,1,1
46,7,0,24,90,0,9,1
49,8,13,67,71,1,1,1
57,6,4,37,85,1,8,1
10,0,4,89,65,0,4,1
32,2,9,56,97,1,9,1
32,12,13,79,36,0,5,1
48,16,3,67,83,0,3,1
48,0,5,96,30,1,9,1
24,5,6,47,73,0,9,1
34,5,8,88,74,1,4,1
15,11,0,96,76,0,4,1
59,12,14,59,42,0,8,1
32,12,5,64,51,0,2,1
29,14,6,81,50,1,9,1
43,15,2,77,38,1,6,1
37,10,7,86,55,0,9,1
5,4,14,75,38,0,8,1
31,3,4,59,44,1,7,1
56,2,14,59,39,1,1,1
17,18,8,96,71,0,3,1
45,19,4,52,53,0,2,1
7,17,8,25,78,1,5,1
43,14,9,38,55,1,5,1
10,8,3,99,66,1,5,1
12,16,8,59,97,1,4,1
31,13,4,78,79,1,5,1
13,14,9,78,53,0,3,1
41,0,8,67,48,1,1,1
37,2,2,60,89,0,5,1
55,15,14,32,68,1,9,1
46,10,3,64,47,0,9,1
48,11,8,72,48,1,4,1
28,9,9,61,65,1,3,1
19,15,10,82,84,0,1,1
58,7,5,46,98,0,2,1
36,5,1,57,76,1,8,1
36,11,6,79,78,1,1,1
28,7,1,26,62,1,8,0
45,3,10,24,50,1,7,1
56,7,1,64,51,1,8,1
53,17,10,77,77,0,6,1
53,4,0,50,66,0,9,1
56,8,10,42,44,1,3,1
16,3,10,61,64,0,4,1
43,16,11,29,61,0,6,1
6,8,10,51,40,0,8,1
7,0,2,72,39,1,5,0
53,19,5,49,86,0,3,1
41,12,7,58,54,1,6,1
53,15,8,50,31,0,4,1
21,12,6,21,93,1,9,1
53,13,3,97,64,0,3,1
6,2,5,96,36,1,4,1
6,5,4,31,47,1,7,0
32,17,7,58,96,0,7,1
58,18,0,85,71,1,4,1
27,4,0,32,68,1,6,0
41,14,12,65,70,1,3,1
36,1,14,46,53,1,6,1
37,9,10,36,89,1,2,1
5,17,5,79,75,1,8,1
23,12,9,83,48,1,2,1
6,4,11,54,97,1,7,1
57,0,1,89,71,0,9,1
48,0,4,49,61,0,1,1
30,17,0,90,68,1,8,1
36,14,6,93,65,1,7,1
10,16,0,82,65,0,6,1
36,10,3,47,32,0,6,1
59,16,8,79,37,0,6,1
8,12,0,98,99,1,9,1
59,0,3,56,70,0,2,1
15,1,5,41,97,1,1,1
21,8,5,87,42,1,6,1
42,2,11,39,78,0,8,1
28,0,14,87,89,1,3,1
9,15,12,83,31,1,1,1
56,5,7,36,89,1,9,1
38,16,0,31,34,1,1,1
10,4,6,41,73,0,3,1
26,4,0,36,56,0,8,0
15,5,12,29,61,1,3,1
52,2,13,84,50,1,4,1
20,4,6,41,37,0,8,1
37,4,2,69,79,1,1,1
13,9,10,33,96,0,6,1
10,9,7,83,73,1,1,1
20,18,2,66,87,1,1,1
33,16,13,48,32,0,8,1
7,13,13,95,99,0,4,1
24,8,12,55,31,0,1,1
40,13,0,71,73,0,7,1
23,0,12,95,31,1,5,1
30,18,12,26,64,0,5,1
7,12,13,48,59,1,1,1
23,12,7,30,37,0,6,1
24,3,2,52,51,0,9,0
36,0,1,25,73,1,9,0
11,16,0,98,87,0,8,1
56,7,13,51,65,0,5,1
45,1,2,70,98,0,1,1
37,7,14,94,60,0,9,1
44,6,1,77,76,1,1,1
43,1,1,45,84,1,8,0
22,2,5,65,91,0,5,1
44,17,11,48,59,0,3,1
5,11,0,23,84,0,7,1
15,0,1,32,45,1,7,0
32,11,13,58,41,1,9,1
29,4,5,34,46,1,7,1
54,16,2,48,45,1,3,1
27,15,14,48,41,0,1,1
35,14,3,94,37,0,8,1
34,14,0,51,32,0,3,1
46,4,7,21,45,1,8,1
39,13,12,66,59,0,8,1
11,1,6,97,52,1,5,1
20,10,6,41,34,1,1,1
30,18,2,94,94,0,7,1
52,6,9,46,59,0,5,1
56,5,9,86,50,0,8,1
53,1,2,75,99,1,9,1
6,5,13,40,51,1,7,1
5,17,1,66,61,0,7,1
52,1,11,99,62,0,1,1
16,17,0,78,45,1,4,1
9,14,6,25,67,0,2,1
41,18,6,38,43,1,2,1
36,1,11,76,65,1,2,1
59,19,1,88,52,0,4,1
13,5,6,22,95,0,1,1
45,0,12,20,31,0,4,1
39,14,7,77,94,0,2,1
23,9,0,57,96,1,5,1
52,18,8,34,81,1,3,1
20,16,6,53,91,1,8,1
7,4,2,80,52,0,4,1
24,3,7,54,55,1,1,1
28,9,6,83,97,0,1,1
58,16,10,44,84,0,3,1
37,9,14,43,35,0,9,1
28,16,12,31,64,0,7,1
56,19,7,37,51,0,2,1
15,4,5,34,72,0,9,1
53,1,8,99,44,1,2,1
12,5,14,46,89,0,3,1
40,1,4,91,41,1,2,1
42,12,2,79,78,1,3,1
44,10,2,65,71,0,6,1
24,10,0,36,67,0,9,1
39,15,11,72,74,0,9,1
52,10,14,27,64,1,7,1
29,18,7,98,59,0,3,1
39,14,1,46,59,1,4,1
29,15,2,65,35,0,6,1
33,10,7,69,96,0,5,1
22,15,13,90,36,1,2,1
50,7,7,22,81,1,6,1
22,3,13,83,43,0,3,1
6,7,10,63,44,1,8,1
58,3,3,72,50,1,2,1
39,2,3,43,64,1,1,1
20,2,4,79,95,1,9,1
45,17,5,22,31,1,3,1
40,18,4,39,64,0,1,1
37,18,13,65,49,0,7,1
8,4,14,34,39,1,5,1
37,17,6,44,54,0,5,1
18,9,1,97,95,0,1,1
25,5,6,90,54,1,9,1
52,0,9,36,83,0,7,1
24,4,6,28,62,1,8,1
12,8,0,57,65,1,9,1
11,11,6,67,43,0,6,1
7,13,4,79,94,1,5,1
21,1,2,82,83,1,6,1
37,16,12,21,81,1,2,1
52,13,2,91,32,1,4,1
16,12,3,30,70,1,3,1
55,8,12,83,35,0,7,1
26,14,11,96,54,0,9,1
59,14,1,91,42,1,5,1
26,10,1,40,37,1,6,1
50,15,0,37,50,0,2,1
34,16,14,83,97,1,3,1
42,3,4,57,54,0,3,1
42,0,3,51,97,1,9,1
49,7,10,30,74,1,7,1
55,16,9,64,89,1,8,1
58,2,14,52,41,1,9,1
12,19,1,60,61,1,6,1
31,14,2,27,42,1,4,1
31,14,6,30,60,1,1,1
38,13,6,70,49,0,8,1
25,13,11,60,47,0,7,1
34,1,3,36,89,0,2,0
37,12,4,95,92,1,8,1
32,13,4,65,35,1,5,1
51,18,5,51,61,1,7,1
37,6,13,98,72,1,4,1
9,2,8,99,31,1,5,1
52,14,1,73,89,1,8,1
23,13,4,39,52,1,1,1
8,10,11,52,60,0,1,1
39,14,2,93,34,1,4,1
53,12,3,59,63,0,3,1
21,17,9,51,39,0,2,1
48,5,5,21,31,1,3,1
32,2,11,52,40,1,1,1
34,18,7,96,79,0,1,1
33,14,0,49,60,0,6,1
50,4,9,52,85,1,5,1
57,9,13,96,38,1,8,1
10,6,7,45,50,0,2,1
39,16,10,41,57,1,4,1
45,6,13,85,91,1,8,1
41,11,6,57,36,1,6,1
28,16,0,65,45,0,1,1
33,12,1,34,33,0,4,1
53,19,2,63,33,0,1,1
50,3,0,68,69,1,2,1
57,9,13,94,46,1,5,1
35,2,8,80,81,0,8,1
39,8,7,86,81,0,8,1
37,12,1,25,65,0,3,1
56,17,12,28,67,1,4,1
25,14,8,25,79,0,6,1
36,3,6,92,92,0,3,1
27,14,8,51,92,1,2,1
37,1,5,60,91,1,6,1
7,14,5,95,36,1,5,1
22,7,10,27,56,0,5,1
29,7,13,91,43,1,5,1
46,16,3,69,34,1,5,1
35,11,9,81,84,0,3,1
58,18,9,81,31,1,7,1
7,9,12,26,91,0,6,1
44,8,12,94,50,0,4,1
50,4,1,99,50,1,2,1
28,5,6,23,39,1,9,1
54,19,4,25,87,1,1,1
36,1,10,77,68,1,4,1
51,12,5,41,34,1,1,1
26,5,1,45,94,1,6,1
27,4,4,22,42,0,4,0
6,0,9,60,82,0,5,1
31,5,3,79,74,1,5,1
46,5,8,33,61,0,9,1
6,15,5,94,65,1,1,1
30,3,1,31,89,0,2,0
21,10,0,31,40,0,6,0
44,8,4,32,92,0,5,1
37,2,8,44,50,1,7,1
13,18,5,64,81,0,3,1
47,7,9,38,84,1,3,1
58,4,11,74,55,0,2,1
52,3,6,64,97,0,3,1
43,5,4,27,63,0,1,1
33,1,9,72,81,0,5,1
46,19,5,74,81,0,5,1
59,10,4,51,58,1,7,1
30,3,10,70,67,1,4,1
39,14,8,63,71,0,3,1
54,5,14,89,50,0,1,1
29,16,5,37,71,0,8,1
28,5,10,41,42,0,3,1
17,18,7,56,93,1,2,1
11,1,1,75,46,0,4,0
40,14,11,78,38,1,3,1
49,10,12,22,70,0,1,1
24,7,8,47,30,1,3,1
5,18,4,93,31,0,2,1
12,12,6,54,89,0,8,1
50,11,9,80,77,1,6,1
20,4,12,73,58,0,9,1
18,5,0,82,39,0,8,0
16,3,9,98,87,0,3,1
55,18,4,26,89,1,5,1
27,19,11,95,50,0,7,1
19,0,13,68,57,0,5,1
32,19,9,50,63,1,8,1
38,16,13,77,37,1,5,1
6,11,1,80,88,1,1,1
36,14,11,43,78,0,5,1
27,0,5,39,46,0,4,0
26,13,10,56,89,0,6,1
55,5,0,23,74,1,3,0
29,4,2,39,98,0,5,1
26,10,4,79,61,0,2,1
26,3,3,43,73,1,6,1
53,12,2,69,94,1,6,1
56,10,9,68,37,1,5,1
46,2,12,70,72,1,6,1
10,0,4,55,30,1,7,0
19,5,10,85,80,0,5,1
58,17,7,98,53,1,1,1
47,9,10,53,53,0,8,1
41,4,3,55,46,0,4,1
37,9,0,25,34,1,9,0
12,11,10,58,49,1,6,1
57,1,6,61,50,1,1,1
48,12,7,77,87,0,3,1
48,7,2,31,60,1,3,1
9,1,5,22,40,1,4,0
43,19,1,37,81,1,6,1
8,0,6,59,44,1,7,1
10,4,14,40,36,1,4,1
49,8,7,34,57,0,6,1
36,16,5,45,80,0,1,1
56,8,5,27,87,0,8,1
34,10,4,61,34,1,7,1
51,14,7,63,34,1,9,1
